Time Elapsed,MaxAngle,Delay Time,Servo Position,Contact Value,Hand Position
0:0:2:263,180,200,116,0,20,
0:0:2:276,180,200,114,0,20,
0:0:2:288,180,200,112,0,20,
0:0:2:300,180,200,117,0,20,
0:0:2:314,180,200,116,8,20,
0:0:2:326,180,200,121,0,20,
0:0:2:338,180,200,118,16,20,
0:0:2:352,180,200,121,0,20,
0:0:2:363,180,200,117,0,20,
0:0:2:376,180,200,113,0,20,
0:0:2:388,180,200,106,0,20,
0:0:2:401,180,200,98,24,20,
0:0:2:414,180,200,81,16,20,
0:0:2:426,180,200,62,18,20,
0:0:2:439,180,200,44,13,20,
0:0:2:452,180,200,25,16,20,
0:0:2:464,180,200,12,3,20,
0:0:2:477,180,200,5,6,20,
0:0:2:490,180,200,1,13,20,
0:0:2:502,180,200,0,12,20,
0:0:2:514,180,200,0,9,20,
0:0:2:527,180,200,0,5,20,
0:0:2:539,180,200,0,1,20,
0:0:2:551,180,200,0,7,20,
0:0:2:565,180,200,0,5,20,
0:0:2:577,180,200,0,0,20,
0:0:2:589,180,200,0,0,20,
0:0:2:601,180,200,0,0,20,
0:0:2:614,180,200,0,0,20,
0:0:2:626,180,200,0,0,20,
0:0:2:638,180,200,0,0,20,
0:0:2:652,180,200,0,0,20,
0:0:2:664,180,200,0,0,21,
0:0:2:676,180,200,0,0,22,
0:0:2:689,180,200,0,0,26,
0:0:2:701,180,200,0,0,29,
0:0:2:713,180,200,0,0,33,
0:0:2:725,180,200,0,0,34,
0:0:2:739,180,200,0,32,37,
0:0:2:752,180,200,0,0,36,
0:0:2:765,180,200,0,0,38,
0:0:2:778,180,200,0,0,38,
0:0:2:791,180,200,0,0,40,
0:0:2:804,180,200,0,0,40,
0:0:2:817,180,200,0,0,38,
0:0:2:830,180,200,0,0,41,
0:0:2:843,180,200,0,0,39,
0:0:2:856,180,200,0,0,39,
0:0:2:869,180,200,0,0,40,
0:0:2:882,180,200,1,0,40,
0:0:2:895,180,200,4,0,41,
0:0:2:909,180,200,14,0,41,
0:0:2:922,180,200,28,0,38,
0:0:2:936,180,200,45,16,43,
0:0:2:950,180,200,60,7,42,
0:0:2:963,180,200,76,15,40,
0:0:2:977,180,200,85,5,40,
0:0:2:993,180,200,93,4,45,
0:0:3:6,180,200,98,8,42,
0:0:3:19,180,200,104,25,40,
0:0:3:33,180,200,109,4,42,
0:0:3:46,180,200,108,24,41,
0:0:3:59,180,200,113,11,43,
0:0:3:73,180,200,112,0,44,
0:0:3:86,180,200,110,2,43,
0:0:3:99,180,200,112,1,43,
0:0:3:112,180,200,113,3,40,
0:0:3:126,180,200,115,0,41,
0:0:3:138,180,200,118,0,39,
0:0:3:151,180,200,113,0,41,
0:0:3:165,180,200,119,0,41,
0:0:3:178,180,200,122,24,40,
0:0:3:191,180,200,119,3,43,
0:0:3:205,180,200,118,9,42,
0:0:3:218,180,200,128,0,41,
0:0:3:231,180,200,127,0,43,
0:0:3:245,180,200,122,16,41,
0:0:3:258,180,200,125,0,41,
0:0:3:270,180,200,124,0,39,
0:0:3:283,180,200,125,3,39,
0:0:3:297,180,200,129,0,36,
0:0:3:310,180,200,131,1,39,
0:0:3:322,180,200,132,0,36,
0:0:3:336,180,200,127,0,34,
0:0:3:348,180,200,124,0,34,
0:0:3:361,180,200,118,0,33,
0:0:3:374,180,200,117,0,32,
0:0:3:386,180,200,118,3,31,
0:0:3:398,180,200,117,0,30,
0:0:3:411,180,200,122,0,31,
0:0:3:424,180,200,124,0,31,
0:0:3:436,180,200,123,0,28,
0:0:3:449,180,200,127,0,30,
0:0:3:462,180,200,125,0,28,
0:0:3:474,180,200,123,0,31,
0:0:3:487,180,200,118,0,29,
0:0:3:500,180,200,114,0,32,
0:0:3:513,180,200,106,0,31,
0:0:3:525,180,200,105,17,30,
0:0:3:537,180,200,100,1,30,
0:0:3:551,180,200,92,8,25,
0:0:3:563,180,200,87,16,30,
0:0:3:575,180,200,82,38,29,
0:0:3:589,180,200,76,0,28,
0:0:3:601,180,200,70,15,31,
0:0:3:613,180,200,65,3,28,
0:0:3:627,180,200,63,8,29,
0:0:3:639,180,200,62,0,29,
0:0:3:651,180,200,56,0,26,
0:0:3:664,180,200,56,0,27,
0:0:3:677,180,200,53,0,28,
0:0:3:689,180,200,54,1,31,
0:0:3:701,180,200,53,0,32,
0:0:3:715,180,200,58,0,34,
0:0:3:727,180,200,61,0,36,
0:0:3:740,180,200,60,24,37,
0:0:3:753,180,200,59,1,41,
0:0:3:767,180,200,49,0,45,
0:0:3:780,180,200,50,32,42,
0:0:3:792,180,200,50,17,44,
0:0:3:806,180,200,47,0,45,
0:0:3:819,180,200,52,20,43,
0:0:3:832,180,200,52,0,43,
0:0:3:846,180,200,50,0,43,
0:0:3:859,180,200,51,0,42,
0:0:3:872,180,200,45,0,42,
0:0:3:886,180,200,42,0,44,
0:0:3:898,180,200,43,0,44,
0:0:3:911,180,200,49,0,46,
0:0:3:924,180,200,55,3,45,
0:0:3:938,180,200,65,3,42,
0:0:3:951,180,200,76,0,44,
0:0:3:964,180,200,85,21,43,
0:0:3:978,180,200,99,10,46,
0:0:3:991,180,200,116,0,44,
0:0:4:4,180,200,122,8,43,
0:0:4:17,180,200,130,8,43,
0:0:4:30,180,200,137,8,41,
0:0:4:43,180,200,136,30,42,
0:0:4:57,180,200,134,16,41,
0:0:4:70,180,200,134,9,44,
0:0:4:83,180,200,131,0,44,
0:0:4:97,180,200,129,0,42,
0:0:4:109,180,200,131,0,45,
0:0:4:122,180,200,133,0,41,
0:0:4:135,180,200,139,0,43,
0:0:4:149,180,200,142,0,41,
0:0:4:162,180,200,137,8,43,
0:0:4:175,180,200,138,0,40,
0:0:4:189,180,200,136,0,41,
0:0:4:202,180,200,139,0,38,
0:0:4:215,180,200,139,0,37,
0:0:4:228,180,200,137,0,37,
0:0:4:240,180,200,136,7,32,
0:0:4:253,180,200,130,0,32,
0:0:4:265,180,200,128,17,34,
0:0:4:278,180,200,125,0,31,
0:0:4:291,180,200,128,0,26,
0:0:4:303,180,200,131,0,26,
0:0:4:316,180,200,130,0,23,
0:0:4:329,180,200,135,0,20,
0:0:4:341,180,200,132,0,24,
0:0:4:354,180,200,130,0,23,
0:0:4:367,180,200,128,0,21,
0:0:4:379,180,200,128,0,21,
0:0:4:391,180,200,123,0,20,
0:0:4:405,180,200,122,16,20,
0:0:4:417,180,200,115,0,21,
0:0:4:429,180,200,108,0,20,
0:0:4:443,180,200,104,0,21,
0:0:4:455,180,200,91,16,20,
0:0:4:467,180,200,81,21,20,
0:0:4:480,180,200,79,13,20,
0:0:4:493,180,200,72,8,20,
0:0:4:505,180,200,57,0,20,
0:0:4:517,180,200,49,7,20,
0:0:4:531,180,200,37,7,20,
0:0:4:543,180,200,20,13,20,
0:0:4:555,180,200,19,8,20,
0:0:4:569,180,200,17,7,20,
0:0:4:581,180,200,11,15,20,
0:0:4:593,180,200,9,7,20,
0:0:4:605,180,200,6,1,20,
0:0:4:619,180,200,3,15,20,
0:0:4:631,180,200,2,0,20,
0:0:4:643,180,200,1,3,20,
0:0:4:656,180,200,2,0,20,
0:0:4:669,180,200,2,0,20,
0:0:4:681,180,200,1,0,20,
0:0:4:694,180,200,0,0,20,
0:0:4:706,180,200,0,0,20,
0:0:4:718,180,200,0,0,20,
0:0:4:731,180,200,0,0,20,
0:0:4:744,180,200,0,0,20,
0:0:4:756,180,200,0,0,20,
0:0:4:768,180,200,0,1,20,
0:0:4:781,180,200,0,0,20,
0:0:4:793,180,200,0,0,20,
0:0:4:805,180,200,0,3,20,
0:0:4:818,180,200,0,0,20,
0:0:4:831,180,200,0,0,20,
0:0:4:843,180,200,0,0,20,
